"X1.501","Company.Names","Company.Names2","Min.Value","Max.Value","Change","Perc.Change"
32,NA,NA,32.55,36.39,3.84,0.117972350230415
33,NA,"Aon Plc",41.67,36.91,-4.76000000000001,-0.114230861531078
34,"Apache Corp","Apache Corp",88.87,90.53,1.66,0.0186789692809722
35,"Anadarko Petroleum","Anadarko Petroleum",53.89,48.7,-5.19,-0.0963072926331415
36,"Air Products & Chemicals","Air Products & Chemicals",76.64,75.01,-1.63,-0.021268267223382
37,"Amphenol Corp A","Amphenol Corp A",33.35,41.66,8.31,0.249175412293853
38,NA,"Airgas",64.84,66.25,1.41,0.0217458359037631
39,"Allegheny Technologies","Allegheny Technologies",29.25,43.7,14.45,0.494017094017094
40,"AvalonBay Communities","AvalonBay Communities",65.16,104.45,39.29,0.602977286678944
41,NA,NA,32.66,29,-3.66,-0.112063686466626
42,"Avery Dennison Corp","Avery Dennison Corp",31.3,33.81,2.51,0.0801916932907349
43,"American Express","American Express",32.85,40.76,7.91,0.240791476407915
44,NA,NA,25.8,22.04,-3.76,-0.145736434108527
45,"AutoZone","AutoZone",153.25,213.07,59.82,0.390342577487765
46,"Boeing Co","Boeing Co",45.87,64.6,18.73,0.408327883148027
47,"Bank of America","Bank of America",17.46,12.87,-4.59,-0.262886597938144
48,"Baxter International","Baxter International",56.29,44.57,-11.72,-0.2082074968911
49,"Bed Bath & Beyond","Bed Bath & Beyond",35.81,38.34,2.53,0.0706506562412734
50,"BB&T Corp","BB&T Corp",28.03,23.11,-4.92,-0.175526221905102
51,"Best Buy","Best Buy",37.49,32.5,-4.99,-0.133102160576154
52,"Bard (C.R.)","Bard (C.R.)",75.56,78.82,3.25999999999999,0.0431445209105346
53,NA,"",44.82,NA,NA,NA
54,"Becton Dickinson","Becton Dickinson",68.85,70.82,1.97,0.0286129266521423
55,"Franklin Resources","Franklin Resources",94.57,98.92,4.35000000000001,0.0459976736808714
56,NA,NA,44.77,61.25,16.48,0.368103640830913
57,"Baker Hughes","Baker Hughes",38.71,39.01,0.299999999999997,0.00774993541720478
58,NA,NA,23.81,31.8,7.99,0.335573288534229
59,"Biogen","Biogen",49.97,55.38,5.41,0.108264958975385
60,NA,"",15.45,NA,NA,NA
61,"Bank of New York Mellon","Bank of New York Mellon",29.12,24.65,-4.47,-0.153502747252747
62,"Ball Corp","Ball Corp",50.08,57.14,7.06,0.140974440894569
63,NA,NA,35.45,37.67,2.22,0.06262341325811
64,NA,NA,26.92,29.44,2.52,0.0936106983655275
65,"Bristol-Myers Squibb","Bristol-Myers Squibb",22.57,26.44,3.87,0.171466548515729
66,NA,"",84.77,NA,NA,NA
67,"Broadcom Corp",NA,28.02,77.73,49.71,1.77408993576017
68,"Boston Scientific","Boston Scientific",11.37,5.69,-5.68,-0.499560246262093
69,NA,NA,35.84,44.92,9.08,0.253348214285714
70,"Boston Properties","Boston Properties",59.4,81.23,21.83,0.367508417508418
71,"Citigroup","Citigroup",4.7,3.75,-0.95,-0.202127659574468
72,"CA","CA",22.99,18.35,-4.64,-0.201826881252718
73,"ConAgra Foods","ConAgra Foods",20.21,21.45,1.24,0.0613557644730331
74,"Cardinal Health","Cardinal Health",35.63,31.14,-4.49,-0.126017401066517
75,"Cameron International","Cameron International",36.66,36.84,0.180000000000007,0.00490998363338808
76,"Caterpillar","Caterpillar",47.3,68.86,21.56,0.455813953488372
77,"Chubb Corp","Chubb Corp",49.04,53.39,4.35,0.0887030995106036
78,NA,"",32.76,NA,NA,NA
79,"CBRE Group","CBRE Group",12.11,16.34,4.23,0.349298100743188
80,"CBS Corp","CBS Corp",10.74,13.61,2.87,0.267225325884544
81,"Coca-Cola Enterprises","Coca-Cola Enterprises",20.41,29.02,8.61,0.421852033317001
82,"Carnival Corp","Carnival Corp",30.88,31.79,0.91,0.0294689119170984
83,NA,NA,31.32,28.9,-2.42,-0.0772669220945084
84,"Celgene Corp","Celgene Corp",53.15,53.67,0.520000000000003,0.0097836312323613
85,NA,"Cerner Corp",56.9,75.34,18.44,0.324077328646749
86,"CF Industries Holdings",NA,81.79,22.81,-58.98,-0.721115050739699
87,"Chesapeake Energy","Chesapeake Energy",23.79,20.38,-3.41,-0.14333753678016
88,"C.H. Robinson Worldwide","C.H. Robinson Worldwide",57.57,66.16,8.59,0.149209657807886
89,"Cigna Corp","Cigna Corp",29.87,32.41,2.54,0.0850351523267491
90,NA,"",13.43,NA,NA,NA
91,"Cincinnati Financial","Cincinnati Financial",24.9,26.92,2.02,0.081124497991968
92,"Colgate-Palmolive",NA,73.16,61.28,-11.88,-0.162383816293056
93,"Clorox Co","Clorox Co",58.69,64.42,5.73,0.0976316237859943
94,"Comerica","Comerica",27.09,35.34,8.25,0.304540420819491
95,"Comcast Corp","Comcast Corp",15.07,17.81,2.74,0.181818181818182
96,"CME Group","CME Group",276.12,237.69,-38.43,-0.139178617992177
97,"Cummins","Cummins",47.03,79.51,32.48,0.690623006591537
98,"CMS Energy","CMS Energy",13.57,17.04,3.47,0.255711127487104
99,"CenterPoint Energy","CenterPoint Energy",12.8,14.55,1.75,0.13671875
100,"CONSOL Energy","CONSOL Energy",40.45,34.11,-6.34,-0.156736711990111
101,"Capital One Financial","Capital One Financial",36.48,37.78,1.3,0.0356359649122808
102,"Cabot Oil & Gas","Cabot Oil & Gas",37.65,29.28,-8.37,-0.222310756972112
103,"Coach","Coach",28.75,37.31,8.56,0.297739130434783
104,"Rockwell Collins","Rockwell Collins",44.4,55.29,10.89,0.24527027027027
105,"ConocoPhillips","ConocoPhillips",44.2,53.89,9.69,0.219230769230769
106,"Costco Wholesale","Costco Wholesale",48.56,55.04,6.48,0.133443163097199
107,"Campbell Soup","Campbell Soup",31.12,36.64,5.52,0.177377892030848
108,NA,NA,7.38,7.43,0.0499999999999998,0.00677506775067748
109,NA,NA,53.67,112.75,59.08,1.10080119247252
110,"Computer Sciences","Computer Sciences",49.68,42.02,-7.66,-0.154186795491143
111,"Cisco Systems","Cisco Systems",22.19,22.23,0.0399999999999991,0.00180261378999545
112,"CSX Corp","CSX Corp",45.06,49.79,4.73,0.10497114957834
113,"Cintas Corp","Cintas Corp",27.7,26.19,-1.51,-0.0545126353790613
114,"CenturyLink","CenturyLink",31.73,35.99,4.26,0.134257800189096
115,"Cognizant Technology Solutions","Cognizant Technology Solutions",34.46,59.61,25.15,0.729831688914684
116,"Citrix Systems","Citrix Systems",35.38,59.21,23.83,0.673544375353307
117,NA,"",10.84,NA,NA,NA
118,NA,NA,22.74,20.02,-2.72,-0.119613016710642
119,"CVS Health Corp","CVS Health Corp",35.72,27.99,-7.73,-0.216405375139978
120,"Chevron Corp","Chevron Corp",69.73,75.05,5.31999999999999,0.0762942779291552
121,"Dominion Resources","Dominion Resources",34.22,43.93,9.71,0.28375219170076
122,"Du Pont (E.I.)","Du Pont (E.I.)",32.71,40.34,7.63,0.233261999388566
123,"Deere & Co","Deere & Co",44.8,65.13,20.33,0.453794642857143
124,NA,NA,14.49,12.07,-2.42,-0.167011732229124
125,NA,NA,18.11,10.09,-8.02,-0.442849254555494
126,"Discover Financial Services","Discover Financial Services",13.51,14.27,0.76,0.0562546262028127
127,"Quest Diagnostics","Quest Diagnostics",54.89,46.38,-8.51,-0.155037347422117
128,"D.R.Horton","D.R.Horton",12.66,10.27,-2.39,-0.188783570300158
129,"Danaher Corp","Danaher Corp",61.9,36.33,-25.57,-0.413085621970921
130,"Walt Disney Co","Discovery Communications",26.79,37.82,11.03,0.411720791340052
131,"Dun & Bradstreet","Dun & Bradstreet",74.63,67.97,-6.66,-0.0892402519094198
132,NA,NA,16.77,14.69,-2.08,-0.124031007751938
133,"Diamond Offshore Drilling","Diamond Offshore Drilling",90,59.03,-30.97,-0.344111111111111
134,"Dover Corp","Dover Corp",35.52,46.18,10.66,0.300112612612613
135,"Dow Chemical","Dow Chemical",22.63,24.43,1.8,0.0795404330534689
136,"Dr. Pepper Snapple Group","Dr. Pepper Snapple Group",27.25,36.76,9.51,0.348990825688073
137,"Darden Restaurants","Darden Restaurants",33.27,41.27,8,0.240456868049294
138,"DTE Energy","DTE Energy",35.34,45.91,10.57,0.299094510469722
139,"DIRECTV","DIRECTV",24.8,38.05,13.25,0.534274193548387
140,"Duke Energy","Duke Energy",15.61,17.06,1.45,0.0928891736066624
141,NA,NA,52.91,37.98,-14.93,-0.282177282177282
142,"DaVita HealthCare Partner","DaVita HealthCare Partner",52.38,63.82,11.44,0.218403970981291
143,"Devon Energy","Devon Energy",64.33,62.14,-2.19,-0.0340432146743354
144,NA,"",2.02,NA,NA,NA
145,"eBay","eBay",22.08,23.37,1.29,0.0584239130434784
146,"Ecolab","Ecolab",42.98,47.45,4.47000000000001,0.104001861330852
147,"Consolidated Edison","Consolidated Edison",40.5,46.7,6.2,0.153086419753086
148,"Equifax","Equifax",27.97,30.13,2.16,0.0772255988559171
149,"Edison International","Edison International",34,33.86,-0.140000000000001,-0.00411764705882355
150,NA,NA,4.34,3.77,-0.57,-0.131336405529954
151,"Estee Lauder Co","Estee Lauder Co",35.84,57.39,21.55,0.601283482142857
152,"EMC Corp","EMC Corp",15.29,18.69,3.4,0.222367560497057
153,"Eastman Chemical","Eastman Chemical",55.02,60.94,5.91999999999999,0.10759723736823
154,"Emerson Electric","Emerson Electric",36.02,46.68,10.66,0.295946696279844
155,"EOG Resources","EOG Resources",75.79,91.42,15.63,0.206227734529621
156,NA,NA,9.71,11.5,1.79,0.184346035015448
157,"Equity Residential","Equity Residential",27.65,44.85,17.2,0.622061482820977
158,"EQT Corp","EQT Corp",41.5,33.54,-7.96,-0.191807228915663
159,NA,NA,19.44,15.79,-3.65,-0.187757201646091
160,"Express Scripts Holding","Express Scripts Holding",70.86,45.36,-25.5,-0.359864521591871
161,"ENSCO Plc","",38.85,NA,NA,NA
162,"E Trade Financial","E Trade Financial",1.41,13.62,12.21,8.65957446808511
163,"Eaton Corp Plc","Eaton Corp Plc",55.37,73.04,17.67,0.319125880440672
164,"Entergy Corp","Entergy Corp",81.78,77.46,-4.32000000000001,-0.0528246515040353
165,"Exelon Corp","Exelon Corp",51.14,40.41,-10.73,-0.209816190848651
166,"Expeditors International,Wash","Expeditors International,Wash",33.49,41.65,8.16,0.243654822335025
167,"Expedia","Expedia",22.9,23.64,0.740000000000002,0.0323144104803494
168,"Ford Motor","Ford Motor",7.74,11.77,4.03,0.520671834625323
169,"Fastenal Co","Fastenal Co",37.17,48.01,10.84,0.291633037395749
170,"Freeport-McMoRan","Freeport-McMoRan",65.06,71.37,6.31,0.0969873962496158
171,"Family Dollar Stores","Family Dollar Stores",29.72,42.83,13.11,0.441117092866756
172,"FedEx Corp","FedEx Corp",67.87,81.23,13.36,0.196846913216443
173,"FirstEnergy Corp","FirstEnergy Corp",45.38,35.84,-9.54,-0.210224768620538
174,NA,NA,13.61,10.27,-3.34,-0.245407788390889
175,NA,NA,26.95,20.49,-6.46,-0.239703153988868
176,"Fidelity National Information Services","Fidelity National Information Services",24.85,26.49,1.64,0.0659959758551307
177,"Fiserv","Fiserv",49.09,51.26,2.16999999999999,0.0442045223059685
178,"Fifth Third Bancorp","Fifth Third Bancorp",10.909,11.56,0.651,0.0596754972958108
179,"FLIR Systems","FLIR Systems",23.05,26.36,3.31,0.143600867678959
180,"Fluor Corp","Fluor Corp",55.87,46.59,-9.27999999999999,-0.166099874709146
181,"Flowserve Corp","FMC Corp",91.12,61.84,-29.28,-0.321334503950834
182,NA,NA,40.49,42.58,2.09,0.0516176833786119
183,NA,"",58.03,NA,NA,NA
184,NA,"First Solar",28.78,125.03,96.25,3.34433634468381
185,"FMC Technologies","FMC Technologies",47.93,61.63,13.7,0.285833507197997
186,"Frontier Communications","Frontier Communications",7.04,7.72,0.68,0.096590909090909
187,"AGL Resources","AGL Resources",37.72,42.1,4.38,0.116118769883351
188,NA,NA,8.16,12.32,4.16,0.509803921568627
189,"Genl Dynamics","Genl Dynamics",58.49,60.23,1.73999999999999,0.0297486749871772
190,"Genl Electric","Genl Electric",14.21,15.03,0.819999999999999,0.0577058409570724
191,NA,NA,53.58,66.89,13.31,0.248413587159388
192,"Gilead Sciences","Gilead Sciences",46.09,32.64,-13.45,-0.291820351486223
193,"Genl Mills","Genl Mills",59.61,35.14,-24.47,-0.410501593692333
194,"Corning","Corning",16.09,16.1,0.0100000000000016,0.000621504039776356
195,"GameStop Corp","GameStop Corp",23.13,18.81,-4.32,-0.186770428015564
196,"Genworth Financial","Genworth Financial",8.41,11.36,2.95,0.35077288941736
197,NA,NA,465.24,462.02,-3.22000000000003,-0.00692115897171358
198,"Genuine Parts","Genuine Parts",38.84,42.96,4.12,0.106076210092688
199,"Gap","Gap",19.48,17.32,-2.16,-0.11088295687885
200,NA,NA,57.03,72.25,15.22,0.266877082237419
201,"Goldman Sachs Group","Goldman Sachs Group",163.51,148.24,-15.27,-0.0933887835606384
202,"Goodyear Tire & Rub","Goodyear Tire & Rub",17.97,9.85,-8.12,-0.451864218141347
203,"Grainger (W.W.)","Grainger (W.W.)",89.82,107.68,17.86,0.198842128701848
204,"Halliburton Co","Halliburton Co",25.05,27.82,2.77,0.110578842315369
205,"Harman International","Harman International",28.67,30.71,2.04,0.0711545169166376
206,"Hasbro","Hasbro",27.01,42.47,15.46,0.57238059977786
207,"Huntington Bancshares","Huntington Bancshares",4.62,5.39,0.77,0.166666666666667
208,"Hudson City Bancorp","Hudson City Bancorp",13.37,11.955,-1.415,-0.105833956619297
209,"Health Care REIT","Health Care REIT",43.01,45.08,2.07,0.0481283422459893
